chunk_id,doc_id,title,text,source_url,updated,tags
59a4788d-981c-405d-ba8c-031c0a688d1a,d5f79032-fec8-4bc5-bc5a-ac0d7158e055,How Pre-Settlement Funding Works: The Process Explained,"How Pre-Settlement Funding Works: The Process Explained

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.

This information is general and not legal advice.",https://www.oasisfinancial.com/pre-settlement-funding/how-pre-settlement-funding-works/,2025-04-16,"overview,process,eligibility,non-recourse"
faaf51ed-5f5b-45a7-8c41-5c347b6bb5f1,ba694312-070c-42cc-8700-11ae402332be,Pre-Settlement Funding in Florida Explained,"Pre-Settlement Funding in Florida Explained

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- State-specific norms may influence eligibility and timelines.

This information is general and not legal advice.",https://www.oasisfinancial.com/pre-settlement-funding/pre-settlement-funding-in-florida-explained/,2025-05-02,"state,FL,eligibility"
8edfca98-20e5-4d58-a15a-0fadd057a677,a4af3c4e-bd93-4a9b-84b3-b471bce89802,How Many Pre-Settlement Fundings Can I Get?,"How Many Pre-Settlement Fundings Can I Get?

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- Multiple-advance policies depend on updated case facts and attorney approval.

This information is general and not legal advice.",https://www.oasisfinancial.com/pre-settlement-funding/how-many-pre-settlement-fundings-can-i-get/,2023-10-19,"limits,multiple-advances"
072f6f0b-f135-4ea3-811c-4c7767e206fe,96c567e8-c27f-4389-9b92-a7a810679970,Pre-Settlement Funding vs. Traditional Bank Loans: What You Need to Know,"Pre-Settlement Funding vs. Traditional Bank Loans: What You Need to Know

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- Differences from bank loans: no monthly payments, repayment only if case wins/settles.

This information is general and not legal advice.",https://www.oasisfinancial.com/pre-settlement-funding/pre-settlement-funding-vs-traditional-bank-loan/,,"comparison,loans"
f332e76a-454f-4a22-91c7-a5e72fbadc82,96c567e8-c27f-4389-9b92-a7a810679970,Pre-Settlement Funding vs. Traditional Bank Loans: What You Need to Know,ce.,https://www.oasisfinancial.com/pre-settlement-funding/pre-settlement-funding-vs-traditional-bank-loan/,,"comparison,loans"
b806a1c7-004f-43a7-9a6e-66ae7bda4c85,eef67716-ea21-49f6-bf57-785859615a45,Pre-Settlement Funding | FAQ,"Pre-Settlement Funding | FAQ

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.

This information is general and not legal advice.",https://www.oasisfinancial.com/faq/,,"faq,definitions"
0670523e-96b0-47c1-ae17-3bc6e7a174a1,0577680f-6b74-44ff-8659-891aee5f0794,Why Is My Car Accident Lawsuit Taking So Long?,"Why Is My Car Accident Lawsuit Taking So Long?

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- Auto cases: police report, liability clarity, treatment status matter.
- Covers common lawsuit delays: discovery, medical treatment, negotiations.

This information is general and not legal advice.",https://www.oasisfinancial.com/auto-accident/why-is-my-car-accident-lawsuit-taking-so-long/,,"auto,timelines"
8a95ba86-52be-4f32-8f22-4b91d9f2a3a0,0577680f-6b74-44ff-8659-891aee5f0794,Why Is My Car Accident Lawsuit Taking So Long?,tion is general and not legal advice.,https://www.oasisfinancial.com/auto-accident/why-is-my-car-accident-lawsuit-taking-so-long/,,"auto,timelines"
00c614c1-f2c2-496e-9da1-f51b7ecf4248,95b89338-9d12-464e-824b-513557a50ff6,Pre-settlement Funding for Auto Accident Lawsuits,"Pre-settlement Funding for Auto Accident Lawsuits

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- Auto cases: police report, liability clarity, treatment status matter.

This information is general and not legal advice.",https://www.oasisfinancial.com/auto-accident/pre-settlement-funding-for-auto-accident-lawsuits/,,"auto,eligibility"
7368a285-5bf7-4332-9520-5cf11fa0c6e2,41172580-1bf0-4d42-821d-7bb8447d9f7c,How to Get Pre-Settlement Funding for an Auto Accident in NY: A Step-by-Step Guide,"How to Get Pre-Settlement Funding for an Auto Accident in NY: A Step-by-Step Guide

Oasis Financial topic overview for agent reference. Not legal advice.

- Pre-settlement funding is non-recourse; repayment is only from settlement.
- Requires attorney representation.
- Approval based on case merits and expected settlement value.
- Common uses: rent, utilities, groceries, medical bills.
- Timelines vary by case type/state and attorney responsiveness.
- Auto cases: police report, liability clarity, treatment status matter.
- State-specific norms may influence eligibility and timelines.

This information is general and not legal advice.",https://www.oasisfinancial.com/auto-accident/how-to-get-pre-settlement-funding-for-an-auto-accident-in-ny/,,"NY,auto,state"
